sqft,price
14000,158.5
6120,88
10261,186.5
9125,163.9
4280,9.35
11639,182
17423,51.837
9600,132
8121,172.4
8850,144
7200,155
10000,24
9084,18
8172,135
6930,13
10800,24
10004,167
10150,114.5
6120,129.9
13173,325
11475,11
8520,1
14585,181.9
10125,126
11584,197
9790,161.5
7917,175
11100,84.9
10380,31
3675,14
10667,212
8125,23
9100,117.5
4274,199.9
11361,18
53504,538
10708,19
10800,339.75
20896,423
1526,86
3010,167.24
6960,12.5
10000,131.4
10186,19
21384,223.5
1300,124
9765,185
10659,136.5
13474,225
10208,265
12168,359.1
4060,181
8765,16.5
9967,17
11643,2
10356,122
3378,135
10382,14
10778,136.5
11287,228.5
7500,154
5330,251
16285,187.1
10246,145
10320,135
7804,135
1491,75.5
9000,12.5
8499,156.932
11394,394.432
8740,137
14774,333.168
9900,117.5
9100,127.5
11645,196.5
14850,141
9187,37.878
25419,235
6600,13.5
4426,149.3
10316,235
2368,125
8900,17
12615,243
10542,341
2117,177.5
2887,173
10140,213.25
8536,155
10970,147
7259,259.5
1953,83
15384,184
7200,125
11475,179.9
9084,176.5
2665,127
8750,191
7200,187.75
10530,135
17500,335
2016,16
13695,159
10482,145
7200,129
11029,25
8521,125
7000,135
14260,25
9500,165
4456,113
8544,149.35
8749,192
12227,272
9480,146.5
6762,26
8926,112
6000,12
7406,194
2522,137.5
7500,68.4
9900,139.5
9937,167
15863,197
15623,745
7681,154.9
10084,37
6762,193.879
9550,14
7800,119.9
12205,187.5
11767,112
14762,169
9230,146
9313,19
7990,11
10382,2
13472,386.25
12376,32
10500,139
2592,85
22950,475
11160,244
12354,11
10012,137.5
14100,381
11075,26.9
7162,19.9
5700,116.9
2280,148.5
7922,19
9000,136
10800,159.5
12589,174
9638,169
8846,173.9
14191,22.9
11414,167.5
32463,168
1936,84.5
8562,144.5
12968,144
9612,244.6
7800,119.9
9317,213
11040,18
8314,124.5
8640,215.2
10800,163
7943,118.5
6629,13.6
7875,176
8405,119
8100,16
12144,133
11040,145
7560,133.7
8688,232
5814,187.5
3182,192
3635,175.9
10120,122
9060,12
6180,12
1974,83.5
13682,438.78
8487,19
8430,124
8854,121
10140,165
6000,134.9
16545,34
11700,154
11235,148
9906,17
11606,135
8248,67
6627,72.5
18386,295
20781,262.5
10991,239
12702,97
9636,178
8880,25
13891,582.933
8500,98.6
9200,13.25
12257,29
12118,24
11184,172.5
9450,11
9672,152
11767,13.5
8123,179
8280,124
12461,262
11316,214.9
7500,216
9760,187
8250,134
12328,169.9
7472,184
7024,157
9600,129.5
7200,123
8978,18
11210,221.5
9600,128.9
12798,2
13568,156
12800,275
7837,178
11787,315.75
9142,137
16196,215
24090,244.4
9790,143
14054,219.21
21872,175
14112,18.5
7920,89.5
4923,286
7588,2.1
10927,275
8777,85
7050,226
21780,185
17043,181
11932,235.128
13031,187.5
14572,259
7200,149
8885,131
6380,113
8800,96.5
6000,131
10463,239.9
10780,132.5
7226,183
7407,149.7
14157,377.426
7910,127
5400,15
8125,25.95
7500,177.5
9600,181.5
5400,152
10084,212.9
10900,161.75
9017,192
8400,171
11700,175
8520,15.9
9405,118
5306,239
11146,255.5
13650,172.5
10530,143.25
7350,139
15498,287
7585,91.5
3604,146
4928,128
8480,132.5
8741,113
20431,437.154
9375,228.5
9548,237
6000,117
14963,245.5
4435,155.9
8777,18
13695,155
8400,82
9250,139.4
14200,226
12640,15.9
25095,143
12180,8
11340,125
1680,119.5
10357,179.9
9505,222.5
8944,124
8200,219.5
8385,149.9
7018,118.964
8712,12.776
9600,161
6979,144
9060,15
9764,13
8402,147
5890,12.5
11717,185
1950,151
19138,141
7838,123
8475,135.75
8072,138
9120,185
12155,14
11103,155.835
3072,178.74
9000,124
12900,18.959
11175,2.141
14536,27
9000,118
3735,183.9
15576,177
10215,111
10635,232
17400,16
9101,165.5
8197,143.5
7032,135.96
9291,187
9200,14
9135,2
15870,138.8
14781,275
8529,189
9600,87
5586,79.9
9938,236
10793,152
7200,157
11553,158
13688,412.5
18450,129
10800,64.5
5825,79.9
7313,277.5
3842,275
7937,142.5
12256,325
3880,11.5
9600,16
6171,137.45
13891,465
6402,78
10994,257
9100,125
11367,255
8400,144
35133,186.7
10800,135
8791,27.5
12552,254.9
11952,19
13175,21
9937,147.5
6897,127
7094,125
1596,91
5250,122
35760,625
11700,265.979
8892,126.5
8235,125
8640,25.58
16033,326
10624,119
12420,23
11625,131.5
7082,16
8198,27
15578,172.785
6000,11.5
11478,36
5587,392.5
21535,755
26178,335
4282,196
7700,112.5
9156,185.75
9180,144
7000,17.5
8658,16
8414,154.5
14375,137.5
9560,128.5
8993,176.485
12803,221
9430,337
15602,289
9100,235
16259,342.643
6000,12
9000,141
8450,138.5
10603,25
10125,171.5
14859,24
11302,319
3230,176
3636,55
7535,12
4435,144
9738,14.9
5000,87
9600,119
5232,73
4130,52
10120,29
4426,143
9150,165
10475,245.35
8925,21
9453,194.5
8960,115
13825,14
8525,13
13214,378.5
13526,137
7711,15
11344,144
9100,79.5
10140,181
21750,115
9135,214
5000,159
3600,114.54
9600,14
9675,253
6240,254
36500,19
7018,118.858
9400,139
29959,248
21695,222
4500,162
8877,12
3964,151.4
11844,372.5
6000,89
13837,229
13811,176
6000,17.9
12393,195
2665,115
9735,167.5
9000,33.477
12011,28
6120,15
6342,94
8244,183.5
16560,239
5400,18.48
12090,175.5
14115,143
9525,136.9
12456,337.5
2544,147.4
9400,127.5
9000,139
7200,19.9
9830,162
11345,137
10434,115
12134,164
8544,92.9
1890,81
8775,126
2448,154
12677,274
9880,171
10182,29
14601,315
4920,213.5
7200,125.5
2001,75
3180,144.152
12493,141
7577,194.7
9246,135
15750,157
19690,274.97
34650,145
11003,31
14803,385
6420,123.5
12438,361.919
7207,116.5
7758,132.5
10921,94.75
4590,29.5
6820,212
13693,38
5684,11
9858,13
8750,148.5
10029,211
4270,79
7052,185.85
8012,193
7763,14
9600,147
9750,151
4060,99.9
10680,137.9
4388,87
11428,25
9100,216.837
6442,22.5
13500,235
5389,236.5
7446,1
2572,155
9786,91
10355,143
7931,155
8199,189
11049,179.9
7449,139.4
9600,128
6000,119
7800,115
7819,17
8750,21
4500,153.5
10784,16
11645,26
8795,236
11096,249.7
6762,195.4
3182,192.5
7399,239
12085,318
12474,426
12137,224.9
13159,224.5
13360,163.5
12046,195
13350,142.5
8480,118.5
10652,279.5
7200,85
11988,15
9900,26
9600,124.5
12160,142
11500,25
7332,12
10896,2
9920,128
8263,118.4
10289,156
13869,177
10800,163
10395,148
9000,262.5
10656,248.9
19378,32
13418,39
13400,159.95
13728,235
9600,187
9600,167
9262,287.9
15426,231.5
7800,225
10437,35
13284,165
11880,157
7227,15.5
8461,163.99
7388,15.75
4435,14
6993,135
8769,367.294
8520,136
5100,161
10300,14
10420,186
15865,268
12400,155
6120,133
7930,156
11782,148
9490,133
12919,611.657
15611,175
9477,11
9786,159
3982,264.561
5500,13
12394,225
10562,325.624
9382,191
13515,18.5
11075,172
11764,29
6300,128
3182,181
12546,182.9
15523,133.5
5664,278
10570,315
14115,23
2280,146
7560,139
5395,18
11664,119.2
10205,134.5
8892,116
11250,161.5
9120,184
7500,141
8777,145.9
7945,141
9520,293.77
6000,128
7100,129.9
10552,165.5
16157,194
10200,18
10206,82
12416,184
8450,185
4251,164.7
7200,9
8973,15
16905,17
7153,179.2
9742,23
7750,162
7685,165.6
13300,132
5604,98
9130,173
4500,159.434
10800,12
10410,15
12464,152
8410,81
4403,222
10011,134.45
9600,125
17671,168
11924,345
7861,183.2
6563,275
3922,194.21
7015,11
8816,139
2117,177
8967,67
12692,43
8012,179.2
9018,179.54
8899,181.134
10574,252
8250,145
16692,25
7136,145
10678,285
12030,318
9037,265.9
9240,287
13450,2
9375,263
8814,22
9375,25
2522,13
13101,142.6
8366,173
9337,24.75
12099,354
9317,176.432
7420,118
5400,86
6435,14.2
18800,19
14364,277
7301,198.5
10237,178.9
7200,134.8
2500,155
50271,385
13651,244
25286,132.25
10592,165
4230,28.9
12327,316.6
12182,22
9849,248.328
14948,446.261
12513,14.9
7264,25
10410,135
12155,163.5
11443,369.9
10832,194.5
9600,153
7244,129.5
5687,135.9
16466,135.5
9300,167.5
14442,257.5
5900,85.5
9819,122
26142,157.9
8712,55.993
3950,115
20544,215
10175,18.5
3363,13
11275,242
8068,2
8712,153
32668,2.624
8556,194
9236,217
5500,13.2
11308,335
6000,112.5
10440,11
14303,31.5
7820,318.61
8400,145
6292,145
11670,32
11000,248
5000,79
10400,241.5
13700,21.8
10192,17
8633,173.5
7314,194.5
10159,395.192
10944,271
11423,272
2651,165
5600,55
10335,18
10800,16.25
11216,232.6
3316,197
13600,25
6173,125.5
7750,184.1
6600,138
2289,148.5
17600,157.5
6204,118.5
7200,17.5
10615,95
10998,117
11777,164.5
9056,178
2645,172.5
9144,145
3182,191
6155,128
9554,215
9320,128.95
6858,128
9591,274.9
7596,124.5
8125,193.5
2117,168.5
11029,176.5
8755,214
7000,112
10264,214
8049,18
11700,179.9
4435,136.5
5271,19
8520,166
13072,158
11616,158.9
10918,234
7700,155
10930,14
13600,9
9000,21
9340,113
16737,315
6000,18.5
11207,185
6955,22.5
16635,215
12537,149.9
14175,168
11600,154.3
7917,148
10650,128.2
5720,66.5
1920,122.5
9100,178
10800,1
4750,235
12358,128.5
9965,383.97
8924,188
1533,92
11839,262.28
9842,11.8
10500,115
7677,11
11526,191
7862,28.3
10386,35.9
7630,14
3196,234
2308,155
9020,174.9
9375,219.5
7200,14
9825,1
10721,142
21750,113
3951,164.5
14892,377.5
8320,185.9
6000,93
9066,23
12936,162
8640,229.456
15593,225
22420,239
7844,149.5
11900,166
10207,227.875
6060,1
8990,24.9
10769,212
9808,227
4224,134
14154,28
13517,13.5
14720,41
1680,118
8405,98
10304,197.5
8029,176
8700,155
10800,139
9098,86
10625,25
13125,28.9
8125,197
6120,132
6792,22.665
14000,328
5925,37.9
8064,122.9
3182,151
10171,214
9541,233.17
8532,153
6324,68.5
9920,128.5
13907,18
7879,34.9
8212,58.5
16770,221
8760,148
9750,135.5
9600,278
2160,16
8163,143
5119,328.9
7340,11
16381,223
7599,129.5
12000,147
11900,82.5
5063,27.5
16492,19
3013,213.49
7800,13
10637,297
3675,145
9100,129.9
13501,255
7200,175
2268,173
6000,93
6600,17.5
1890,113
9350,158
9297,188
10452,155
11851,18.5
8544,87.5
8593,19.8
15306,283.463
3182,159.895
11400,466.5
11435,23
17140,135
8281,62.383
13346,268
16059,26
12984,217.5
40094,184.75
6120,137.5
9590,187.5
7060,26.3
11200,18
4043,127.5
11340,122.5
6853,22
8158,224.9
19900,18
8640,252.678
9500,159
8544,93.5
16647,171
8470,85
17755,149.9
12274,227.68
21286,135
13053,27
9572,32
4712,121.6
8400,213
13673,143.9
11050,313
10267,13
6970,129
10625,17
9571,129
14684,271.9
9800,149.9
12665,281.213
45600,24
7018,142.953
9587,19
18890,19
10200,144.9
11250,165
5310,117
9084,95
7200,98.3
7500,176
1477,8
11957,232
14598,214
15138,43
6240,114.5
8294,123
12000,174.5
8546,14
9245,213.5
9360,197.5
25000,143
10020,61
7180,127
8445,133
7931,132.5
3180,151
7153,175.9
5000,127
11841,118.5
8000,188
10712,93.5
9758,119.5
11999,285
9439,87
10106,127.5
10083,184.9
11143,34
8471,151
10240,275.5
8730,153.575
8600,119.5
3696,17
4438,149
9303,24
5381,196
10140,162.9
1680,85.4
10448,158
7200,119
9986,147
13758,187.5
10762,225
1680,91.5
8849,266
8393,145
6931,165.4
10762,12
11000,154
8834,35
7558,177
12090,178
6130,19.5
5820,126.175
8172,115
10010,17
17503,97.5
6000,12
4800,19.9
19296,176
9286,143.5
9492,15
10625,284
11796,215
9200,315
4400,116
10364,168
12160,149.5
4043,14
4426,141
12150,131.5
7252,134.9
13500,325
9120,163
4045,246.578
12508,16
12220,42.861
6911,1
9204,124
10859,145
10007,145.5
9965,424.87
8125,241
13860,345
8500,115
